Number of nodes,Number of edges,Edge probability,Algorithm,Results,Number of basic operations,Execution time,Number of solutions tested
15,88,0.75,Maximal Clique - Simple Greedy,"[0, 2, 3, 4, 5, 6, 7, 8, 10, 11]",51,0.00011157989501953125,15
15,88,0.75,Maximum Clique - Branch Bound Greedy,"[2, 3, 4, 5, 6, 7, 8, 10, 11, 14]",Not used,0.00017189979553222656,130
16,23,0.125,Exhaustive Search,"[[12, 14, 15], [7, 12, 15], [4, 13, 15], [4, 11, 15], [4, 6, 15]]",75746,1.261282205581665,65400
16,23,0.125,Maximal Clique - Simple Greedy,"[4, 6, 15]",10,6.031990051269531e-05,16
16,23,0.125,Maximum Clique - Branch Bound Greedy,"[4, 6, 15]",Not used,0.00012350082397460938,131
16,44,0.25,Exhaustive Search,"[[0, 5, 11, 13]]",73719,1.3133461475372314,64840
16,44,0.25,Maximal Clique - Simple Greedy,"[0, 5, 8]",10,5.6743621826171875e-05,16
16,44,0.25,Maximum Clique - Branch Bound Greedy,"[0, 5, 11, 13]",Not used,0.0006823539733886719,136
16,66,0.5,Exhaustive Search,"[[2, 3, 13, 14, 15], [2, 3, 10, 13, 14], [2, 3, 6, 10, 14], [1, 3, 4, 7, 10]]",122201,1.367027997970581,63515
16,66,0.5,Maximal Clique - Simple Greedy,"[0, 2, 5, 9]",11,7.557868957519531e-05,16
16,66,0.5,Maximum Clique - Branch Bound Greedy,"[2, 3, 10, 13, 14]",Not used,0.002323150634765625,151
16,98,0.75,Exhaustive Search,"[[6, 8, 9, 10, 12, 13, 14], [6, 7, 8, 9, 10, 12, 13], [3, 8, 9, 10, 12, 13, 14], [3, 7, 8, 9, 10, 12, 13], [1, 3, 8, 10, 12, 13, 14], [1, 3, 8, 10, 11, 13, 14], [1, 3, 7, 8, 10, 12, 13], [1, 3, 7, 8, 10, 11, 13], [1, 2, 3, 10, 11, 13, 14], [1, 2, 3, 7, 10, 11, 13], [0, 6, 8, 9, 10, 12, 14], [0, 6, 7, 8, 9, 10, 12], [0, 3, 8, 9, 10, 12, 14], [0, 3, 7, 8, 9, 10, 12], [0, 2, 4, 5, 6, 9, 14], [0, 2, 4, 5, 6, 7, 9], [0, 2, 3, 4, 5, 9, 14], [0, 2, 3, 4, 5, 7, 9], [0, 1, 3, 8, 10, 12, 14], [0, 1, 3, 8, 10, 11, 14], [0, 1, 3, 7, 8, 10, 12], [0, 1, 3, 7, 8, 10, 11], [0, 1, 3, 5, 8, 11, 14], [0, 1, 3, 5, 7, 8, 11], [0, 1, 2, 3, 10, 11, 14], [0, 1, 2, 3, 7, 10, 11], [0, 1, 2, 3, 5, 11, 14], [0, 1, 2, 3, 5, 7, 11], [0, 1, 2, 3, 4, 5, 14], [0, 1, 2, 3, 4, 5, 7]]",381150,1.9188463687896729,50665
16,98,0.75,Maximal Clique - Simple Greedy,"[1, 2, 3, 4, 7, 13]",35,7.462501525878906e-05,16
16,98,0.75,Maximum Clique - Branch Bound Greedy,"[6, 8, 9, 10, 12, 13, 14]",Not used,0.02315354347229004,286
17,33,0.125,Exhaustive Search,"[[4, 7, 15, 16]]",153061,2.491516590118408,130297
17,33,0.125,Maximal Clique - Simple Greedy,"[4, 7, 15, 16]",8,0.0001251697540283203,17
17,33,0.125,Maximum Clique - Branch Bound Greedy,"[4, 7, 15, 16]",Not used,0.0001251697540283203,287
17,46,0.25,Exhaustive Search,"[[10, 12, 15, 16], [1, 2, 7, 15]]",237542,2.706372022628784,130243
17,46,0.25,Maximal Clique - Simple Greedy,"[4, 9, 10]",9,9.226799011230469e-05,17
17,46,0.25,Maximum Clique - Branch Bound Greedy,"[1, 2, 7, 15]",Not used,0.0015337467193603516,298
17,81,0.5,Exhaustive Search,"[[6, 8, 10, 12, 14, 15], [0, 6, 8, 14, 15, 16]]",284843,2.6261017322540283,121748
17,81,0.5,Maximal Clique - Simple Greedy,"[0, 2, 4, 6, 14]",18,7.200241088867188e-05,17
17,81,0.5,Maximum Clique - Branch Bound Greedy,"[0, 6, 8, 14, 15, 16]",Not used,0.03241133689880371,337
17,105,0.75,Exhaustive Search,"[[0, 3, 4, 6, 8, 13, 14, 16]]",499438,2.6717727184295654,92624
17,105,0.75,Maximal Clique - Simple Greedy,"[0, 1, 3, 4, 7, 13]",31,9.083747863769531e-05,17
17,105,0.75,Maximum Clique - Branch Bound Greedy,"[0, 3, 4, 6, 8, 13, 14, 16]",Not used,0.01699995994567871,410
18,34,0.125,Exhaustive Search,"[[9, 16, 17], [9, 15, 17], [9, 14, 16], [6, 10, 12], [4, 10, 14], [2, 14, 16], [2, 13, 16], [0, 1, 4]]",358493,5.437477350234985,261973
18,34,0.125,Maximal Clique - Simple Greedy,"[5, 11]",2,7.43865966796875e-05,18
18,34,0.125,Maximum Clique - Branch Bound Greedy,"[9, 15, 17]",Not used,0.0019216537475585938,417
18,56,0.25,Exhaustive Search,"[[11, 13, 16, 17], [5, 13, 16, 17], [5, 10, 13, 17], [4, 5, 10, 12], [2, 4, 5, 12], [1, 9, 16, 17], [1, 9, 15, 17]]",352116,5.252954721450806,261161
18,56,0.25,Maximal Clique - Simple Greedy,"[2, 7]",2,6.699562072753906e-05,18
18,56,0.25,Maximum Clique - Branch Bound Greedy,"[5, 10, 13, 17]",Not used,0.0009047985076904297,422
18,88,0.5,Exhaustive Search,"[[7, 10, 12, 13, 14, 17], [5, 10, 12, 14, 16, 17], [5, 7, 10, 12, 14, 17], [5, 7, 9, 10, 12, 17], [2, 5, 10, 12, 16, 17], [2, 5, 9, 10, 12, 17]]",769542,6.235077619552612,249530
18,88,0.5,Maximal Clique - Simple Greedy,"[5, 10, 11, 12]",8,6.389617919921875e-05,18
18,88,0.5,Maximum Clique - Branch Bound Greedy,"[7, 10, 12, 13, 14, 17]",Not used,0.01127934455871582,491
18,132,0.75,Exhaustive Search,"[[0, 1, 2, 3, 4, 6, 8, 12, 13, 16, 17], [0, 1, 2, 3, 4, 6, 8, 10, 12, 16, 17], [0, 1, 2, 3, 4, 6, 8, 9, 12, 13, 16], [0, 1, 2, 3, 4, 6, 8, 9, 10, 12, 16]]",704817,3.007258653640747,81334
18,132,0.75,Maximal Clique - Simple Greedy,"[0, 1, 2, 3, 4, 6, 8, 9, 10, 12, 16]",79,0.00011515617370605469,18
